Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
28.0,Male,68.0,1.7,174.0,155.0,68.0,0:44,1464.0,Yoga,17.0,2.3,3.0,Intermediate,21.67
42.0,Female,95.5,1.95,168.0,125.0,72.0,1:54,632.0,HIIT,26.1,2.0,4.0,Beginner,12.32
27.0,Female,58.7,1.98,199.0,145.0,52.0,2:00,1119.0,Cardio,23.0,2.7,2.0,Advanced,18.99
24.0,Female,86.5,1.65,196.0,169.0,59.0,1:04,771.0,Cardio,27.3,2.1,3.0,Beginner,12.9
44.0,Female,63.6,1.78,167.0,129.0,74.0,1:20,1165.0,Yoga,10.7,3.4,4.0,Beginner,15.73
49.0,Female,56.6,1.75,198.0,120.0,72.0,1:07,1767.0,Yoga,23.6,2.6,2.0,Intermediate,34.37
36.0,Female,40.0,1.71,178.0,169.0,69.0,1:18,1519.0,HIIT,27.5,2.7,4.0,Beginner,36.707499999999996
23.0,Female,67.7,1.73,188.0,162.0,54.0,1:45,954.0,Yoga,18.0,3.2,3.0,Beginner,16.07
56.0,Female,40.0,1.74,172.0,146.0,74.0,1:25,876.0,Yoga,26.0,3.4,2.0,Beginner,19.63
22.0,Female,99.1,1.72,182.0,169.0,62.0,1:08,1105.0,Yoga,31.4,3.6,4.0,Beginner,16.91
20.0,Female,72.9,1.63,164.0,156.0,51.0,1:06,582.0,Strength,27.1,3.2,3.0,Intermediate,19.83
44.0,Female,40.0,1.68,175.0,156.0,74.0,1:02,1010.0,Cardio,28.1,1.8,3.0,Advanced,12.32
33.0,Female,58.3,1.77,167.0,153.0,74.0,1:24,969.0,Strength,29.5,2.6,2.0,Beginner,20.47
18.0,Male,40.0,1.64,177.0,134.0,53.0,0:58,468.0,Strength,25.6,2.1,3.0,Advanced,18.78
59.0,Male,45.8,1.5,163.0,137.0,55.0,1:58,1306.0,Cardio,24.0,2.9,4.0,Intermediate,26.25
27.0,Male,52.3,1.75,180.0,128.0,61.0,1:55,931.0,Strength,15.0,2.5,4.0,Intermediate,23.23
33.0,Female,76.3,1.95,188.0,125.0,72.0,0:57,899.0,Strength,21.7,2.3,5.0,Beginner,26.08
47.0,Male,77.5,1.72,176.0,151.0,56.0,1:23,679.0,Cardio,13.3,3.5,2.0,Advanced,24.32
27.0,Male,96.3,1.61,198.0,159.0,70.0,1:09,1203.0,Cardio,32.1,3.1,3.0,Beginner,12.32
55.0,Female,68.4,1.85,175.0,150.0,58.0,1:09,1020.0,Cardio,29.2,2.5,4.0,Intermediate,22.87
18.0,Female,56.9,1.77,183.0,131.0,57.0,1:16,1052.0,Cardio,20.7,3.5,4.0,Intermediate,18.57
24.0,Male,47.6,1.51,175.0,120.0,70.0,0:46,583.0,Strength,22.6,1.7,5.0,Beginner,13.71
26.0,Female,88.8,1.7,193.0,169.0,68.0,1:54,1145.0,Strength,18.1,3.7,2.0,Intermediate,30.34
29.0,Male,96.7,1.7,175.0,141.0,54.0,2:00,880.0,Yoga,32.9,2.3,2.0,Advanced,13.16
43.0,Male,112.0,1.71,166.0,146.0,58.0,1:37,815.0,HIIT,31.2,2.6,3.0,Beginner,21.1
29.0,Female,72.0,1.66,167.0,144.0,68.0,0:52,1248.0,HIIT,10.0,3.6,4.0,Advanced,17.55
22.0,Female,75.7,1.56,194.0,142.0,61.0,1:13,643.0,Strength,28.8,2.3,3.0,Advanced,13.93
39.0,Female,41.3,1.76,175.0,136.0,69.0,1:25,1096.0,Yoga,24.3,3.2,3.0,Intermediate,15.36
41.0,Male,40.0,1.77,176.0,148.0,65.0,1:01,1238.0,Yoga,11.6,1.9,5.0,Beginner,22.98
41.0,Female,63.7,1.93,195.0,155.0,61.0,1:10,1064.0,HIIT,21.2,3.4,4.0,Beginner,15.76
20.0,Male,45.0,1.68,171.0,154.0,74.0,1:30,1692.0,Yoga,10.0,2.4,4.0,Beginner,12.32
26.0,Male,47.1,1.61,189.0,138.0,52.0,1:15,1095.0,Yoga,19.3,3.6,3.0,Advanced,29.91
37.0,Female,72.1,1.83,164.0,152.0,58.0,1:34,1091.0,Cardio,34.4,3.3,4.0,Intermediate,16.92
59.0,Male,57.5,1.81,175.0,169.0,58.0,1:28,1349.0,Cardio,24.7,2.5,5.0,Intermediate,12.32
22.0,Male,54.3,1.85,165.0,144.0,53.0,2:00,1740.0,Cardio,26.6,3.7,4.0,Intermediate,20.04
25.0,Male,63.9,1.67,178.0,144.0,61.0,1:33,868.0,Strength,24.8,2.4,3.0,Intermediate,24.51
32.0,Male,56.6,2.0,190.0,123.0,65.0,1:15,1309.0,HIIT,14.7,3.5,4.0,Advanced,17.83
29.0,Female,95.3,1.72,190.0,169.0,74.0,1:29,733.0,HIIT,29.2,3.7,5.0,Advanced,20.06
30.0,Female,96.3,2.0,173.0,136.0,74.0,2:00,1095.0,HIIT,20.4,1.5,5.0,Intermediate,25.83
33.0,Male,60.5,1.54,195.0,126.0,56.0,1:16,1237.0,Cardio,29.1,3.7,4.0,Intermediate,21.23
49.0,Male,45.0,1.84,190.0,159.0,53.0,1:18,864.0,HIIT,26.5,1.5,4.0,Intermediate,17.11
53.0,Male,87.7,1.84,164.0,152.0,53.0,1:22,1066.0,Cardio,24.7,2.6,5.0,Intermediate,25.16
54.0,Female,46.1,1.85,187.0,162.0,63.0,1:21,772.0,Strength,25.7,3.6,4.0,Beginner,20.62
18.0,Female,69.8,1.82,178.0,168.0,58.0,1:53,963.0,HIIT,31.4,3.7,5.0,Intermediate,34.21
18.0,Male,79.2,1.77,198.0,137.0,66.0,1:11,1429.0,Yoga,12.9,3.7,3.0,Intermediate,19.07
22.0,Female,53.3,1.73,172.0,144.0,71.0,1:06,1235.0,Strength,22.8,2.6,3.0,Beginner,13.13
20.0,Male,95.7,1.85,196.0,136.0,58.0,1:26,987.0,HIIT,23.8,1.5,3.0,Intermediate,15.47
47.0,Male,87.3,1.9,194.0,164.0,74.0,1:52,1073.0,HIIT,23.7,3.5,5.0,Intermediate,20.1
18.0,Male,79.2,1.66,176.0,154.0,72.0,1:34,1493.0,Strength,18.1,2.3,3.0,Beginner,14.27
18.0,Male,73.8,1.75,187.0,149.0,74.0,1:38,1065.0,HIIT,17.7,2.4,3.0,Beginner,17.79
27.0,Male,72.8,1.82,162.0,136.0,57.0,1:13,780.0,HIIT,11.4,3.5,4.0,Advanced,22.59
38.0,Male,50.0,1.75,186.0,135.0,59.0,2:00,695.0,Strength,23.4,1.6,4.0,Beginner,36.707499999999996
29.0,Female,93.5,1.85,166.0,167.0,74.0,1:00,670.0,Cardio,23.2,2.6,3.0,Beginner,19.83
54.0,Male,84.0,1.94,178.0,133.0,53.0,1:28,942.0,Yoga,30.7,1.5,4.0,Beginner,16.61
37.0,Female,55.3,1.73,183.0,134.0,51.0,1:06,976.0,Yoga,31.3,2.8,2.0,Intermediate,16.26
21.0,Male,66.6,1.85,189.0,121.0,56.0,0:52,993.0,HIIT,13.9,3.4,5.0,Beginner,12.32
26.0,Female,59.8,1.6,180.0,151.0,58.0,1:11,611.0,HIIT,16.4,2.5,3.0,Advanced,12.63
42.0,Female,80.3,1.94,192.0,169.0,52.0,1:43,753.0,Yoga,24.6,3.5,5.0,Intermediate,33.99
31.0,Female,121.99999999999999,1.7,190.0,169.0,69.0,1:22,735.0,Strength,10.0,2.1,3.0,Advanced,16.07
50.0,Female,40.0,1.75,162.0,169.0,55.0,2:00,1449.0,Yoga,31.7,3.5,4.0,Advanced,28.18
18.0,Male,64.8,1.82,169.0,156.0,69.0,1:55,1516.0,Strength,21.9,3.5,3.0,Intermediate,17.69
54.0,Male,60.1,1.63,174.0,159.0,72.0,0:31,893.0,Cardio,18.4,3.6,4.0,Beginner,20.56
37.0,Male,46.3,1.69,181.0,141.0,67.0,1:38,1445.0,Strength,20.7,2.5,4.0,Intermediate,19.11
21.0,Male,66.9,1.69,197.0,149.0,74.0,1:22,872.0,Yoga,16.6,2.6,5.0,Intermediate,33.07
19.0,Female,40.0,1.93,167.0,158.0,74.0,1:11,1265.0,Yoga,24.7,2.6,4.0,Advanced,12.32
36.0,Female,50.1,1.85,199.0,140.0,68.0,0:54,1243.0,Strength,30.7,2.8,4.0,Intermediate,25.82
23.0,Male,71.3,1.77,171.0,134.0,50.0,1:20,1239.0,Cardio,35.0,2.5,3.0,Advanced,18.17
39.0,Female,66.8,1.61,177.0,127.0,59.0,1:38,770.0,Yoga,28.0,3.1,4.0,Beginner,17.16
45.0,Male,53.9,1.68,169.0,141.0,71.0,1:35,1031.0,Yoga,19.2,2.1,3.0,Advanced,20.62
33.0,Female,97.1,1.86,166.0,127.0,72.0,1:23,1783.0,HIIT,11.0,1.5,4.0,Beginner,16.27
27.0,Female,40.0,1.57,178.0,169.0,52.0,1:19,949.0,Strength,28.4,3.1,3.0,Intermediate,21.11
37.0,Male,62.1,1.85,196.0,151.0,64.0,1:16,943.0,HIIT,26.7,3.3,4.0,Beginner,20.37
28.0,Male,60.7,1.73,198.0,124.0,70.0,1:20,1212.0,Cardio,24.8,2.0,2.0,Beginner,20.21
18.0,Male,46.9,1.84,185.0,147.0,65.0,1:17,1040.0,HIIT,21.8,1.7,3.0,Beginner,13.0
18.0,Female,90.8,1.66,182.0,134.0,56.0,1:46,990.0,Yoga,10.0,1.8,4.0,Intermediate,22.03
24.0,Female,44.0,1.79,193.0,164.0,62.0,1:50,622.0,Strength,26.3,3.5,4.0,Intermediate,14.27
23.0,Female,58.2,1.85,196.0,130.0,57.0,1:21,582.0,HIIT,25.7,1.5,4.0,Beginner,35.08
43.0,Male,74.2,1.76,188.0,141.0,68.0,0:58,1426.0,Cardio,21.2,3.1,2.0,Advanced,20.52
18.0,Male,56.1,2.0,180.0,120.0,57.0,1:02,1461.0,HIIT,27.4,2.0,5.0,Intermediate,12.32
45.0,Female,42.1,1.86,194.0,129.0,74.0,0:54,1176.0,Strength,22.1,3.6,5.0,Beginner,33.0
18.0,Male,40.0,1.73,168.0,121.0,73.0,0:38,1153.0,HIIT,29.9,3.1,2.0,Advanced,18.62
28.0,Female,107.7,1.99,188.0,129.0,55.0,2:00,1127.0,Yoga,10.0,2.0,2.0,Beginner,17.86
18.0,Female,40.0,1.8,196.0,120.0,70.0,2:00,979.0,Cardio,10.0,2.6,4.0,Beginner,20.06
57.0,Female,70.0,1.81,167.0,154.0,53.0,1:18,1149.0,Yoga,26.6,1.5,3.0,Advanced,12.32
55.0,Female,63.2,1.59,161.0,168.0,69.0,1:29,1094.0,Yoga,19.0,3.6,3.0,Intermediate,17.45
50.0,Male,69.6,1.71,167.0,169.0,57.0,0:58,470.0,Yoga,27.2,2.7,2.0,Intermediate,20.42
32.0,Male,57.0,1.76,170.0,160.0,71.0,1:49,904.0,Strength,30.9,3.3,4.0,Advanced,16.01
20.0,Female,75.8,1.87,160.0,163.0,63.0,2:00,988.0,HIIT,23.5,2.7,4.0,Advanced,12.32
18.0,Male,54.7,1.6,167.0,156.0,57.0,1:37,1134.0,Yoga,22.7,3.4,4.0,Intermediate,15.86
30.0,Male,62.2,1.69,164.0,134.0,67.0,1:14,1783.0,Cardio,30.3,3.2,3.0,Intermediate,25.59
18.0,Male,97.5,2.0,169.0,159.0,68.0,1:10,782.0,Strength,24.8,1.8,2.0,Beginner,36.707499999999996
31.0,Female,51.0,1.56,193.0,140.0,64.0,1:24,1347.0,Cardio,28.6,3.5,2.0,Intermediate,25.42
31.0,Female,71.0,1.81,199.0,158.0,68.0,1:52,1228.0,Strength,29.6,2.7,2.0,Intermediate,14.52
28.0,Female,70.0,1.74,198.0,169.0,69.0,2:00,1468.0,Cardio,28.4,2.8,4.0,Intermediate,21.91
52.0,Female,73.5,1.78,181.0,162.0,67.0,2:00,1325.0,Yoga,21.1,2.3,3.0,Advanced,18.08
18.0,Male,94.7,1.52,161.0,141.0,66.0,1:23,1446.0,Yoga,16.7,2.6,3.0,Intermediate,22.4
47.0,Male,40.0,1.89,177.0,139.0,69.0,1:18,902.0,HIIT,26.7,3.3,3.0,Advanced,26.2
22.0,Female,60.1,1.71,198.0,161.0,70.0,1:02,533.0,HIIT,10.3,3.4,5.0,Beginner,26.74
48.0,Male,55.5,1.5,183.0,133.0,51.0,0:43,830.0,Cardio,27.3,2.2,3.0,Advanced,32.42
23.0,Female,95.6,1.5,196.0,152.0,56.0,0:30,639.0,Yoga,25.2,3.2,2.0,Beginner,13.38
43.0,Male,102.5,1.79,190.0,138.0,69.0,1:32,844.0,Cardio,19.7,3.7,4.0,Intermediate,17.07
50.0,Male,56.6,1.96,196.0,169.0,74.0,2:00,1299.0,Strength,24.8,1.6,3.0,Intermediate,20.69
30.0,Male,40.0,1.67,176.0,120.0,55.0,1:23,1710.0,Cardio,18.2,2.7,3.0,Beginner,12.32
25.0,Female,74.9,1.66,192.0,138.0,58.0,1:43,1766.0,HIIT,28.7,2.3,5.0,Beginner,15.98
19.0,Female,82.8,1.79,192.0,127.0,74.0,1:10,1140.0,Cardio,10.0,2.4,4.0,Advanced,21.95
41.0,Female,73.3,1.71,196.0,158.0,56.0,1:21,1234.0,Strength,30.1,3.2,4.0,Advanced,25.83
53.0,Male,55.3,1.98,177.0,169.0,51.0,0:49,1273.0,Strength,14.7,2.1,2.0,Intermediate,20.9
35.0,Male,95.9,1.69,175.0,129.0,58.0,1:13,1674.0,Cardio,27.5,2.1,3.0,Advanced,24.01
33.0,Male,89.6,1.62,175.0,137.0,56.0,1:05,906.0,Cardio,23.9,1.6,3.0,Beginner,25.68
21.0,Male,86.3,1.86,167.0,143.0,73.0,1:15,1783.0,Cardio,27.1,3.1,3.0,Intermediate,12.93
33.0,Male,42.7,1.82,196.0,145.0,68.0,1:14,1436.0,Yoga,26.3,3.7,4.0,Beginner,36.707499999999996
33.0,Female,103.3,1.72,180.0,162.0,58.0,0:39,1104.0,Yoga,22.6,3.2,2.0,Beginner,12.42
33.0,Male,76.8,1.72,193.0,126.0,69.0,1:15,790.0,HIIT,31.8,3.3,4.0,Beginner,25.47
23.0,Female,69.1,1.63,198.0,138.0,57.0,2:00,1549.0,Yoga,21.4,3.3,2.0,Beginner,31.27
30.0,Male,75.6,1.82,196.0,138.0,74.0,1:18,925.0,Cardio,32.4,3.3,3.0,Advanced,15.35
18.0,Female,42.0,1.74,197.0,120.0,57.0,2:00,1236.0,Cardio,26.6,1.5,3.0,Intermediate,19.62
56.0,Male,62.9,1.5,194.0,153.0,74.0,1:51,991.0,Yoga,23.2,2.4,3.0,Intermediate,32.25
22.0,Female,53.5,1.76,194.0,137.0,66.0,2:00,1395.0,Strength,13.1,2.3,5.0,Intermediate,17.16
21.0,Female,90.7,1.75,190.0,135.0,54.0,1:01,1155.0,Cardio,28.0,2.3,3.0,Intermediate,12.66
21.0,Male,74.7,1.59,161.0,169.0,74.0,1:04,1379.0,Yoga,15.2,2.5,3.0,Intermediate,21.53
50.0,Male,82.6,1.71,164.0,160.0,63.0,1:19,1011.0,Yoga,22.4,3.6,5.0,Intermediate,12.32
27.0,Male,40.0,1.76,183.0,125.0,60.0,1:02,1783.0,Yoga,21.9,3.3,4.0,Intermediate,12.32
27.0,Female,70.1,1.58,169.0,156.0,63.0,0:49,797.0,Cardio,28.1,3.4,3.0,Beginner,24.04
29.0,Female,40.2,1.7,184.0,152.0,70.0,1:49,744.0,Strength,13.2,2.6,3.0,Intermediate,18.63
19.0,Female,76.4,1.79,189.0,132.0,57.0,1:24,1414.0,HIIT,33.3,3.5,3.0,Intermediate,14.21
39.0,Male,78.5,1.59,197.0,153.0,71.0,1:52,1009.0,Yoga,26.0,3.7,5.0,Beginner,16.24
20.0,Female,82.6,1.6,174.0,149.0,63.0,2:00,775.0,HIIT,22.9,3.3,2.0,Intermediate,15.06
34.0,Male,91.2,1.5,193.0,165.0,61.0,1:07,905.0,Strength,24.0,3.4,4.0,Beginner,24.8
23.0,Male,46.7,1.65,164.0,159.0,68.0,1:48,1563.0,Yoga,15.8,2.5,4.0,Intermediate,19.8
28.0,Female,74.2,1.5,191.0,129.0,72.0,1:46,848.0,Strength,17.3,1.5,3.0,Intermediate,24.11
18.0,Female,64.0,1.51,176.0,129.0,74.0,1:10,992.0,Strength,26.7,3.4,5.0,Advanced,14.98
32.0,Male,52.8,1.61,169.0,169.0,70.0,0:52,1375.0,Strength,24.2,2.7,5.0,Beginner,18.1
47.0,Male,40.0,1.73,170.0,160.0,66.0,1:16,1249.0,Cardio,22.8,3.6,2.0,Beginner,26.91
39.0,Male,70.7,1.58,189.0,163.0,66.0,1:41,1146.0,Yoga,21.9,3.2,3.0,Beginner,21.17
41.0,Male,77.0,1.5,190.0,146.0,56.0,1:18,1067.0,Strength,27.5,3.3,4.0,Intermediate,26.26
23.0,Male,117.8,1.88,168.0,167.0,55.0,1:21,1259.0,Strength,32.3,1.6,3.0,Intermediate,14.24
50.0,Female,57.3,1.72,197.0,133.0,56.0,2:00,950.0,Yoga,11.1,3.2,2.0,Advanced,22.6
22.0,Female,103.1,1.72,168.0,166.0,59.0,1:04,978.0,HIIT,23.1,1.9,2.0,Intermediate,16.79
29.0,Female,77.4,1.69,179.0,132.0,74.0,1:06,712.0,Yoga,27.0,3.5,2.0,Advanced,16.23
18.0,Male,84.1,1.78,194.0,145.0,64.0,2:00,686.0,Cardio,30.3,3.3,3.0,Advanced,14.46
29.0,Male,40.0,1.86,180.0,169.0,63.0,1:15,986.0,Yoga,25.3,1.5,3.0,Beginner,19.92
42.0,Male,66.0,1.6,196.0,159.0,52.0,1:55,1042.0,Strength,16.4,3.5,4.0,Intermediate,17.81
51.0,Female,84.6,1.77,197.0,141.0,55.0,1:26,543.0,HIIT,23.4,2.9,5.0,Advanced,24.89
51.0,Male,100.7,1.75,185.0,138.0,73.0,1:30,703.0,Strength,25.5,1.8,4.0,Advanced,15.9
22.0,Male,58.6,2.0,165.0,169.0,57.0,2:00,1402.0,Strength,30.0,3.5,4.0,Intermediate,20.99
21.0,Female,57.4,1.74,179.0,161.0,73.0,2:00,457.0,HIIT,27.7,2.5,3.0,Beginner,24.67
26.0,Female,42.2,1.91,174.0,127.0,72.0,1:38,455.0,Strength,23.6,2.9,3.0,Intermediate,24.27
18.0,Male,66.6,1.62,192.0,156.0,58.0,1:18,1250.0,Cardio,21.3,3.2,5.0,Beginner,12.58
37.0,Female,94.4,1.7,193.0,127.0,70.0,1:16,1183.0,HIIT,16.4,3.4,4.0,Beginner,19.3
45.0,Male,111.9,1.73,177.0,129.0,54.0,0:55,1267.0,Strength,18.3,2.6,4.0,Beginner,12.32
51.0,Male,61.1,1.82,165.0,163.0,57.0,1:11,1171.0,Yoga,31.7,2.5,4.0,Advanced,36.707499999999996
18.0,Female,96.0,1.82,198.0,144.0,58.0,1:11,323.0,Yoga,23.8,1.8,3.0,Beginner,12.32
27.0,Female,89.7,1.67,172.0,130.0,64.0,1:27,729.0,Yoga,27.7,3.4,4.0,Intermediate,17.56
34.0,Female,61.0,1.69,190.0,159.0,63.0,0:59,1040.0,Cardio,23.6,3.6,5.0,Advanced,18.07
31.0,Female,75.6,1.57,163.0,152.0,71.0,0:57,668.0,Yoga,25.8,2.3,4.0,Beginner,26.35
19.0,Female,90.6,1.85,187.0,131.0,68.0,1:40,607.0,HIIT,27.5,3.3,2.0,Intermediate,19.15
47.0,Female,90.8,1.67,186.0,120.0,74.0,1:25,506.0,Strength,32.0,2.7,3.0,Advanced,18.39
19.0,Female,40.0,1.77,179.0,139.0,74.0,1:13,1173.0,Yoga,27.7,1.6,3.0,Advanced,19.2
27.0,Male,112.6,1.79,174.0,167.0,60.0,0:41,1282.0,Strength,28.6,1.5,2.0,Beginner,22.96
46.0,Male,108.9,1.86,162.0,165.0,74.0,1:25,936.0,Strength,22.2,1.9,4.0,Intermediate,27.29
26.0,Male,43.2,1.8,185.0,149.0,52.0,1:52,1019.0,Cardio,23.5,2.1,4.0,Intermediate,27.59
18.0,Female,61.1,1.74,191.0,159.0,69.0,1:21,1311.0,HIIT,15.6,3.4,2.0,Intermediate,16.61
38.0,Male,85.5,1.77,175.0,156.0,50.0,1:07,766.0,HIIT,14.6,3.4,2.0,Beginner,16.38
18.0,Female,50.1,1.8,174.0,125.0,50.0,1:22,1185.0,HIIT,30.8,3.4,3.0,Intermediate,29.04
45.0,Male,121.99999999999999,1.75,197.0,154.0,73.0,1:58,757.0,Cardio,23.5,2.4,5.0,Beginner,36.13
47.0,Female,93.3,1.73,184.0,123.0,62.0,1:26,998.0,Yoga,15.1,1.7,4.0,Intermediate,12.32
45.0,Female,73.7,1.7,190.0,167.0,67.0,1:06,1100.0,Yoga,29.1,1.8,2.0,Beginner,15.88
18.0,Male,86.1,2.0,180.0,158.0,72.0,1:16,1173.0,HIIT,19.7,3.5,2.0,Advanced,13.06
18.0,Female,40.0,1.77,189.0,137.0,74.0,0:36,829.0,Cardio,24.7,2.6,4.0,Beginner,16.35
43.0,Male,56.4,1.8,174.0,161.0,74.0,1:01,327.0,Strength,10.0,3.2,3.0,Beginner,21.21
45.0,Female,60.7,1.63,170.0,139.0,74.0,1:10,1356.0,Cardio,10.0,3.3,3.0,Advanced,12.32
43.0,Female,40.0,1.69,187.0,162.0,66.0,0:54,886.0,Strength,28.0,2.2,2.0,Beginner,26.48
29.0,Female,84.4,1.67,184.0,160.0,74.0,1:16,1475.0,Yoga,10.0,2.1,5.0,Intermediate,17.62
18.0,Female,67.5,1.71,185.0,166.0,58.0,1:48,1162.0,Cardio,10.6,3.5,3.0,Intermediate,36.707499999999996
21.0,Female,62.1,1.68,173.0,158.0,71.0,1:13,1186.0,Yoga,26.4,3.5,4.0,Beginner,15.6
41.0,Male,83.7,1.92,161.0,163.0,59.0,1:22,1308.0,Cardio,21.4,1.5,2.0,Intermediate,17.48
26.0,Female,80.6,1.86,195.0,127.0,53.0,2:00,564.0,Strength,23.1,1.5,3.0,Intermediate,29.21
21.0,Male,62.3,1.91,198.0,141.0,51.0,1:28,1394.0,Yoga,22.7,1.8,3.0,Intermediate,17.4
49.0,Female,97.4,1.67,171.0,132.0,72.0,1:58,1091.0,Cardio,30.4,3.6,3.0,Beginner,12.32
19.0,Male,51.4,1.78,167.0,154.0,70.0,2:00,1218.0,Yoga,29.8,2.1,3.0,Intermediate,13.61
31.0,Male,79.1,1.74,192.0,167.0,74.0,0:55,1157.0,Cardio,18.7,1.9,2.0,Advanced,13.83
43.0,Male,57.5,2.0,172.0,126.0,64.0,1:23,735.0,Cardio,16.9,2.1,3.0,Beginner,20.98
43.0,Female,70.6,1.71,193.0,148.0,54.0,1:16,725.0,Cardio,27.1,3.6,3.0,Beginner,22.55
18.0,Female,72.5,1.79,173.0,140.0,67.0,1:20,1629.0,Strength,27.3,2.7,5.0,Beginner,19.58
44.0,Female,68.0,1.66,182.0,146.0,68.0,0:49,1278.0,HIIT,20.7,3.0,5.0,Beginner,16.02
21.0,Female,121.6,1.78,182.0,151.0,50.0,1:48,1242.0,Yoga,21.0,3.5,4.0,Intermediate,16.63
58.0,Female,51.2,1.72,165.0,139.0,70.0,0:47,1612.0,Yoga,20.6,2.1,3.0,Advanced,36.29
